"","created_at","id","full_text","source","coordinates","retweet_count","favorite_count","lang","name","screen_name","location","url","description","followers_count","friends_count","listed_count","favourites_count","statuses_count"
"11","2023-04-04 05:13:11","1642968506714189824","اليوم 3 في #JudoAntalya 🇹🇷  أصحاب الميداليات على المنصة.

نساء +78kg:
🥇SAYIT Kayra🇹🇷
🥈ZABIC Milica🇷🇸
🥉DICKO Romane🇫🇷
🥉OZTURK Hilal🇹🇷

#Judo #JudoWorlds https://t.co/Oqx29hRmBf","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","und","Al Judo Lakom","AlJudoLakom","Budapest, Hungary ","https://t.co/UjjWrLhJIN","الحساب الرسمي ل ''الجودو  لكم"".

سيتم نشر جميع أخبار الجودو باللغة العربية.","124","64","0","5","57"
"12","2023-04-04 05:08:39","1642967366945349632","اليوم 3 في #JudoAntalya 🇹🇷  أصحاب الميداليات على المنصة.

رجال +100kg:
🥇SNIPPE Jelle🇳🇱
🥈MEYER Roy🇳🇱
🥉SONG Woohyeok🇰🇷
🥉TATAROGLU Ibrahim🇹🇷

نساء -78kg:
🥇TCHEUMEO Audrey🇫🇷
🥈HAMADA Shori🇯🇵
🥉BOEHM Alina🇩🇪
🥉SAMPAIO Patricia🇵🇹

#Judo #JudoWorlds https://t.co/WzLJnAk0Oz","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","und","Al Judo Lakom","AlJudoLakom","Budapest, Hungary ","https://t.co/UjjWrLhJIN","الحساب الرسمي ل ''الجودو  لكم"".

سيتم نشر جميع أخبار الجودو باللغة العربية.","124","64","0","5","57"
"13","2023-04-04 05:02:01","1642965695653617664","اليوم 3 في #JudoAntalya🇹🇷  أصحاب الميداليات على المنصة.  

 رجال -90kg:
🥇VAN T END Noel🇳🇱
🥈CRET Alex🇷🇴
🥉BUBYR Artem🇺🇦
🥉IVANOV Ivaylo🇧🇬

رجال -100kg:
🥇FARA Aaron🇦🇹
🥈EICH Daniel🇨🇭
🥉DOSEN Bojan🇷🇸
🥉REYES Kyle🇨🇦

#Judo #JudoWorlds https://t.co/I3AzZe3RHB","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","und","Al Judo Lakom","AlJudoLakom","Budapest, Hungary ","https://t.co/UjjWrLhJIN","الحساب الرسمي ل ''الجودو  لكم"".

سيتم نشر جميع أخبار الجودو باللغة العربية.","124","64","0","5","57"
"14","2023-04-04 04:49:51","1642962634881245184","اليوم الثاني في #JudoAntalya 🇹🇷 أصحاب الميداليات على المنصة.

نساء -63kg:
🥇QUADROS Ketleyn🇧🇷
🥈SHEMESH Inbal🇮🇱
🥉HAECKER Katharina🇦🇺
🥉BEAUCHEMIN-PINARD Catherine🇨🇦

نساء -70kg:
🥇NIIZOE Saki🇯🇵
🥈MATIC Barbara🇭🇷
🥉GOSHEN Maya🇮🇱
🥉TSUNODA ROUSTANT Ai🇪🇸
#Judo #JudoWorlds https://t.co/tOaJcVE0zI","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","und","Al Judo Lakom","AlJudoLakom","Budapest, Hungary ","https://t.co/UjjWrLhJIN","الحساب الرسمي ل ''الجودو  لكم"".

سيتم نشر جميع أخبار الجودو باللغة العربية.","124","64","0","5","57"
"15","2023-04-04 04:40:01","1642960159549825024","GOOD NEWS LIBRARY: The Core Concepts of Throwing Techniques by Steve Scott
Highlights Include: Sambo • Judo • Wrestling • Read More: https://t.co/S1UMdYIkhH 
#judo #sambo #wrestling #grappling #groundwork #throwing #takedown #tripping #jujitsu #jiujitsu #bjj #brazilianjiujitsu https://t.co/yHkRpBqV8u","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","list(long = NA, lat = NA, type = NA)","0","0","en","YMAA Publication Center ®","ymaadotcom","New England, USA","http://t.co/7F051x1cFv","YMAA_com - Schools & Publishing. Yang's Martial Arts Association, Authors & Teachers of martial arts, qigong and healing.","4062","623","89","130","7858"
"16","2023-04-04 04:39:05","1642959923557576704","اليوم الثاني في #JudoAntalya 🇹🇷  أصحاب الميداليات على المنصة.  

 رجال  -73kg:
🥇LOMBARDO Manuel🇮🇹
🥈TSEND-OCHIR Tsogtbaatar🇲🇳
🥉KAZIMIROV Vladyslav🇺🇦
🥉HEYDAROV Hidayat🇦🇿

رجال  -81kg:
🥇CASSE Matthias🇧🇪
🥈MOLLAEI Saeid🇦🇿
🥉GAUTHIER DRAPEAU Francois🇨🇦
🥉DJALO Alpha Oumar🇫🇷
#Judo https://t.co/u5s07z0S04","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","und","Al Judo Lakom","AlJudoLakom","Budapest, Hungary ","https://t.co/UjjWrLhJIN","الحساب الرسمي ل ''الجودو  لكم"".

سيتم نشر جميع أخبار الجودو باللغة العربية.","124","64","0","5","57"
"17","2023-04-04 04:07:50","1642952061489758208","Paljon puhuttu viime aikoina urheilun positiivisista vaikutuksista mielenterveyteen ja ite ainakin approovaan ne täysin. Eilen mieli aika pahasti maassa kisojen takia mutta nyt hyvä fiilis taas kun treeneissä kulki. Jatketaan. 📈 #judo #judofi","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","1","11","fi","Martti Puumalainen","Marttijudoka","",,"Ammattijudoka, kersantti, urheilufani. Sotilaiden MM🥉🥋","251","444","0","9739","666"
"18","2023-04-04 04:02:18","1642950667286241280","#Judo is a tremendous and dynamic #combatsport that demands physical prowess and great #mentaldiscipline. It involves techniques that allow you to lift and throw your opponents onto their backs &amp; control them, and apply various #chokeholds or joint locks until submission. https://t.co/4LJahHfIpn","<a href=""https://cloudcampaign.io/"" rel=""nofollow"">Cloud Campaign</a>","list(long = NA, lat = NA, type = NA)","0","0","en","Lightning Tigers MAA","LT_MAA","Marksville, Louisiana","https://t.co/ApE5kM6VM8","Traditional Martial Arts and Modern Street Self Defense that does not disappoint.","0","15","0","0","193"
"19","2023-04-04 03:58:42","1642949760565800960","Luego de participar en el el Macro Regional de #Judo, que se celebró el fin de semana en Celaya, Guanajuato, los judocas michoacanos Romina Rubio, Ángel Castro y Ángel Duarte obtuvieron sus boletos a los #JuegosNacionalesCONADE2023

#DeportivaMich 

https://t.co/QJHn3H8odQ","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","2","3","es","DeportivaMichoacán","DeportivaMich","Morelia, Mich. México","https://t.co/WT5fLHIRF3","Medio de comunicación con la mejor información de todos los Deportes a Nivel Local, Nacional e Internacional | siguenos también en @247NoticiasMich","249","234","17","13713","13817"
"20","2023-04-04 03:51:30","1642947950065098752","Tonight at 11pm ET, our daily deal :
Finishers ""Reaper"" Hoodie ☠️
For only $39 Limited quantities.
Offer expires at 11pm ET / 8pm PT.
-
#judo #mma #bjj #gym #leglock #armbar #wrestling #heelhook #rashguard #nogi #berimbolo https://t.co/0vjfdPkR89","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","1","4","en","BJJHQ","BJJHQ","West Haverstraw, NY","https://t.co/eOtmsUGmbs","Jiu Jitsu Daily Deals | https://t.co/QjNGzgxwoS | 24-hour flash sales since 2009 | New product @ 11pm EST daily. 
 
Need help? cs@bjjhq.com 
Need more? https://t.co/0apkKjFHHx","14523","7882","93","92","6639"
"21","2023-04-04 03:48:42","1642947246835548160","Tonight at 11pm ET, our daily deal :
Finishers ""Reaper"" Hoodie
For only $39 visit https://t.co/YZjay5gHvy now
Offer expires at 11pm ET / 8pm PT.
Men’s and women’s sizes are available
-
#judo #mma #bjj #gym #leglock #armbar #wrestling #heelhook #rashguard #nogi r https://t.co/TgsiBzbgbB","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","en","BJJHQ","BJJHQ","West Haverstraw, NY","https://t.co/eOtmsUGmbs","Jiu Jitsu Daily Deals | https://t.co/QjNGzgxwoS | 24-hour flash sales since 2009 | New product @ 11pm EST daily. 
 
Need help? cs@bjjhq.com 
Need more? https://t.co/0apkKjFHHx","14523","7882","93","92","6639"
"22","2023-04-04 03:48:26","1642947176878817280","Volunteers needed ! JOIN NOW.
Bénévoles recherchés! Inscrivez-vous maintenant.
👉https://t.co/RBOY5jMrXR
#judo #judocanada #PanamOceania2023 #JudoCalgary https://t.co/A7KxSn8f7P","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","1","6","fr","Judo Canada","JudoCanada","Montréal","https://t.co/bTRqG55sGW","The programs of Judo Canada are funded in part by the Government of Canada. Les programmes de Judo Canada sont financés en partie par le gouvernement du Canada.","10039","2225","175","6998","20590"
"23","2023-04-04 03:48:05","1642947092296392704","Today's 24-hour deal is here!📣
Finishers ""Reaper"" Hoodie
For only $39 visit https://t.co/YZjay5gHvy now
Offer expires at 11pm ET / 8pm PT.
Men’s and women’s sizes are available
-
#judo #mma #bjj #gym #leglock #armbar #wrestling #heelhook #rashguard #nogi r https://t.co/Lo77Y14n0R","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","0","en","BJJHQ","BJJHQ","West Haverstraw, NY","https://t.co/eOtmsUGmbs","Jiu Jitsu Daily Deals | https://t.co/QjNGzgxwoS | 24-hour flash sales since 2009 | New product @ 11pm EST daily. 
 
Need help? cs@bjjhq.com 
Need more? https://t.co/0apkKjFHHx","14523","7882","93","92","6639"
"24","2023-04-04 03:36:00","1642944048267771904","📚 FONDAMENTI DEL JUDO - DI JIGORO KANO 🥋
Analisi dettagliata della didattica e dei fondamenti del Judo come disciplina da combattimento e filosofia di vita oltre ad una visione dello sport in generale.  

🏷 Acquista su Amazon:

👉 https://t.co/BqzMZCFyVP

#kombatnet #judo https://t.co/tFk569Z0i1","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","2","it","Kombatnet","KombatnetItalia","Pesaro, Italia","https://t.co/A0Gi5gtC5k","Social network for fighters","150","771","0","339","2748"
"25","2023-04-04 03:16:59","1642939265444200448","@EdinburghJudo teaching session for the Ukranian play project last week. Lots of fun and some new skills learnt 👏🏻

#judo #ukranianproject #play #newskills #empoweringyoungpeople https://t.co/0torWhxYoT","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","0","0","en","YMCA Edinburgh","YMCAEdinburgh","86 space, The Junction EH6 5LL","https://t.co/TydtRmBXUk","YMCA Edinburgh is part of an inclusive global movement that gives all, especially young people the space and opportunity to belong, contribute and thrive 🔻","1583","1875","36","6392","4049"
"26","2023-04-04 03:05:25","1642936354202959872","Patrícia Sampaio já é a judoca portuguesa com melhor ranking olímpico https://t.co/XWTwMdsnZH #judo #PatríciaSampaio","<a href=""https://ominho.pt"" rel=""nofollow"">Wordpress O MINHO</a>","list(long = NA, lat = NA, type = NA)","0","1","pt","O MINHO","ominhopt","Minho","https://t.co/G4jDJYvTZj","Porque o Minho já merecia um jornal digital assim.","4110","144","39","125","96832"
"27","2023-04-04 03:00:14","1642935048990081024","Une sacrée performance pour la jeune femme. #Normandie #Manche #judo https://t.co/kgsKzymau0","<a href=""https://correspondant.lamanchelibre.fr"" rel=""nofollow"">La Manche Libre New App</a>","list(long = NA, lat = NA, type = NA)","0","1","fr","La Manche Libre","lamanchelibre","Normandie, France","https://t.co/ebtbXqq47V","Le compte officiel du premier hebdomadaire régional de France ! Couvre l'actualité de la #Manche et de l'Ouest du #Calvados, en #Normandie","11155","299","291","43","45275"
"28","2023-04-04 02:45:55","1642931445705367552","Le club est à la recherche d’un professeur de judo 🥋 

Merci de partager pour nous aider à poursuivre nos recherches !

😁

#judo #boucherville #sport #judolife https://t.co/L1SR18w9mp","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","1","3","fr","Club de Judo Boucherville","BouchervilleJ","Boucherville, Québec","https://t.co/BXOmMOiqk1","Compte officiel Official account Complexe aquatique Laurie-Eve-Cormier 490 Chemin du Lac, Boucherville, Qc J4B 6X3, Canada http://www.boutique-judobouchervill","216","180","2","838","720"
"29","2023-04-04 02:00:01","1642919895133216768","#LimaLama, conocida como ""La mano de la sabiduría"", es un arte marcial de origen polinesio que incorpora distintas disciplinas samoanas, como el Lua, #Box 🥊, #Judo, sil lum kung-fu, kempo chino .

Actualmente se practica en el @IPN_MX y podrás conocerlo en #DTodo a las 18:30h. https://t.co/hHLfetmQIp","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","2","10","es","D Todo","D_todo","CDMX y el mundo 🌍","https://t.co/I0VbPcotDC","Descubre culturas, deportes, comida y DTodo de lunes a jueves a las 18:30 h con @AlexiaAvila_, sintonízalo por @CanalOnceTV y en redes sociales. 📺💻","10424","98","76","2778","3984"
"30","2023-04-04 01:45:39","1642916278946988032","#CRC | Judocas regatenses protagonistas en la “Tierra Colorada”

🔗 https://t.co/lm8zTuqriU #Judo #VamosParque https://t.co/11abTngJZk","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","0","2","es","ClubdeRegatasCorrientes","ClubRegatasCtes","Corrientes - Argentina","https://t.co/3J5lAjJfyj","👍🏼 Facebook: https://t.co/iqa04CyERi                                          
👻 Instagram: https://t.co/0uN6EnzGeU","9351","598","53","8139","20302"
"31","2023-04-04 01:24:43","1642911011681325056","Cumhuriyetimizin 100 Yılında Ülkemize Yakışır Büyük Bir Organizasyonu Tamamlamanın Gururunu Yaşıyoruz 83 Ülkeden 600 Sporcunun Yarıştığı Antalya #judo Grand Slamda Yarışan Ve Madalya Kazanan Tüm Sporcularımızı ve Teknik Ekibimizi Kutluyorum👏🇹🇷 @turkjudo https://t.co/d1m8AHapdp","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","6","53","tr","Sezer Huysuz","shuysuz","Ankara","https://t.co/kH4Q36y5nE","Türkiye Judo Federasyonu Başkanı","4767","1617","10","202036","25174"
"32","2023-04-04 01:15:19","1642908646672670720","#Judo 

Presencia 🇦🇷 en el Grand Slam en Antalya 🇹🇷. Agustín Gil (-81 kg) protagonizó la actuación más destacada con el acceso a la semifinal del grupo B

📷 @Judo https://t.co/FhjGe6cwO8","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","1","es","𝙄𝙙𝙚𝙣𝙩𝙞𝙙𝙖𝙙 𝘿𝙚𝙥𝙤𝙧𝙩𝙞𝙫𝙖","idendeportiva","",,"🏅🇦🇷 Hacemos cobertura del deporte argentino       ➡️ IG: @idendeportiva 📲 • Creadores: Marcos Vergani (@deporte_mv) y Agustín Zendra (@agustinzendra)🎙️","147","469","2","286","2584"
"33","2023-04-04 01:06:32","1642906434701492224","Persistence earns Kyle Reyes a🥉medal
🇨🇦wraps up Antalya Grand Slam with four fabulous medals
https://t.co/hETv1Fu4ZJ
L’acharnement mène Kyle Reyes à la médaille de🥉
🇨🇦conclut le Grand Chelem d’Antalya avec quatre médailles
https://t.co/0Y36ewxyKe
#judo #judocanada #JudoAntalya https://t.co/vwy9GtcXMX","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","2","5","fr","Judo Canada","JudoCanada","Montréal","https://t.co/bTRqG55sGW","The programs of Judo Canada are funded in part by the Government of Canada. Les programmes de Judo Canada sont financés en partie par le gouvernement du Canada.","10039","2225","175","6998","20590"
"34","2023-04-04 00:34:25","1642898353309511680","En attendant #Paris2024 🥋 #Judo
#JudoAntalya #FranceJudo https://t.co/11axhcSXDE","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","5","5","fr","Sport Business Mag","SBMOff","","https://t.co/OjKHXG6e66","Sport Business Mag est un blog étudiant traitant de toute l'actualité sportive. Articles, sondages, Breaking News ça se passe ici ! 🚨
#SBM","64","140","0","8","114"
"35","2023-04-04 00:32:23","1642897840396541952","JUDO MODERNO. 🇯🇵: https://t.co/1hudX2MyHT 
#Judo #libro #artesmarciales #LibrosRecomendados","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","0","pt","Oz Martial Arts ☯️🔥","MederosRogelio","Link ➡️","https://t.co/qg1sAcIdFb","Aquí encontrarás lo mejor del Cine, Artes Marciales, Entrenamiento físico y mucho más.
Martial Arts Movies, Horror, Videos, Training. #artesmarciales #videos","120","217","2","794","20788"
"36","2023-04-04 00:21:25","1642895082255704064","Destaques da semana!

🥋 Veja as conquistas do Grand Slam de judô
🤸🏻‍♀️ medalha inédita na Copa do Mundo de Ginástica Rítmica
⚽ e o novo nome para seleção brasileira e goleada no Brasileirão

📸: judogallery

#futebol #futebolfeminino #judô #judo #ginásticarítmica #ginasticaritmica https://t.co/5PrHFmCgtx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","0","pt","Papo de Mina","papomina","","https://t.co/YIiHnzSMRa","redacao@papodemina.com","572","180","4","763","1067"
"37","2023-04-04 00:12:55","1642892941482942464","Results of the Irish National MMA Championships in the Senior Welterweight Blue + Division 🇮🇪

#mma #ufc #boxing #bjj #muaythai #kickboxing #jiujitsu #fitness #martialarts #wrestling #fight #grappling #training #karate #mmafighter #fighter #gym #mixedmartialarts #judo #sport https://t.co/9Gnx8OwKYD","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","2","3","en","IMMAA","IMMAAOnline","Dublin City, Ireland","https://t.co/WpyTYUVV2H","The Irish Mixed Martial Arts Association is the National Governing Body for MMA within Ireland #IrishMMA","979","83","4","499","1216"
"38","2023-04-04 00:11:24","1642892560786915328","We conducted our workshop for 35 Judo athletes and their coaches in Indapur judo center at Shah Sanskritik Bhavan. 

#SimplyPeriods #simplysportfoundation #simplysport #Indapur #judo https://t.co/uw3doCTTIF","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","list(long = NA, lat = NA, type = NA)","1","3","en","Simply Sport Foundation","_SimplySport","India","https://t.co/RWuIyAG1Nx","At Simply Sport Foundation, our purpose is to help grassroots athletes succeed in sport and life.","1455","560","4","5677","3280"
"39","2023-04-04 00:08:10","1642891747356209152","Cette organisation leur permet de s’habituer et d'entrevoir ce que vivent nos champions
@francejudo. 

Les cadets ont un championnat aussi qualitatif et professionnel que les séniors. Nous en sommes fiers !  #FierDetreJudoka #Judo #Sport","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","list(long = NA, lat = NA, type = NA)","1","4","fr","Stéphane Nomis","steph_nomis","Paris, France","https://t.co/Qu0n7sD2SZ","🥋Président de @francejudo_ #Judo 
💼 CEO @ippontech  
🚀 Entrepreneur 
🏠Président @fondationIppon 
📸© Sébastien Soriano / Figarophoto","3553","2500","64","12108","2544"
"40","2023-04-04 00:00:00","1642889690096467968","Espectacular fin de semana de #judo para el #Sanfer en el Campeonato de Asturias infantil y cadete y en el ránking alevín, celebrados en el polideportivo de El Quirinal.

Martín Quiroga, Alba Sánchez y Sara Zapatero, campeones y clasificados  para el Campeonato de España. https://t.co/bBnsZzNFA8","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","0","0","es","Colegio Internacional San Fernando","ColegioSanfer","Avilés, España","https://t.co/FWzEZQqq9B","Colegio Bilingüe privado con Bachillerato Internacional (PYP, MYP, DP). Ed Infantil desde 0 años. Google Reference School. Examinador Cambridge. Concertado","224","133","0","400","693"
"41","2023-04-03 23:44:53","1642885889159319552","🔹Erciş Gençlik ve Spor İlçe Müdürlüğü

Judo 🥋
Voleybol 🏐
Atletizm 🏃

Alanında uzman antrenörlerimiz gözetiminde #Judo #Voleybol ve #Atetizm çalışmalarımız devam ediyor.

📍Erciş Futbol Sahası ve Spor Salonu https://t.co/QXvcEWIlg9","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","list(long = NA, lat = NA, type = NA)","2","2","tr","Van Gençlik ve Spor İl Müdürlüğü","GSB_Van","Van, Türkiye","https://t.co/esZ49KRdng","Van Gençlik ve Spor İl Müdürlüğü'ne ait resmi Twitter hesabıdır.","3180","2332","8","2134","45996"
